ingredient,pairing,level,page
ALLSPICE,pies,normal,47
ALLSPICE,pineapple,normal,47
ALLSPICE,pork,normal,47
ALLSPICE,PUMPKIN,very_highly_recommended,47
ALLSPICE,rabbit,normal,47
ALLSPICE,rice,normal,47
ALLSPICE,rosemary,normal,47
ALLSPICE,salsas and sauces,normal,47
ALLSPICE,sauerkraut,normal,47
ALLSPICE,sausages,normal,47
ALLSPICE,soups,normal,47
ALLSPICE,spiced cakes,normal,47
ALLSPICE,spinach,normal,47
ALLSPICE,"squash, winter",recommended,47
ALLSPICE,stews,normal,47
ALLSPICE,"stocks and broths, chicken",normal,47
ALLSPICE,sweet potatoes,normal,47
ALLSPICE,thyme,normal,47
ALLSPICE,tomatoes,normal,47
ALLSPICE,turnips,normal,47
ALLSPICE,"vegetables, esp. root",normal,47
ALLSPICE,West Indies cuisine,normal,47
ALMONDS,amaretto,normal,47
ALMONDS,"anise, esp. green",normal,47
ALMONDS,apples,normal,47
ALMONDS,apricots,recommended,47
ALMONDS,beans,normal,48
ALMONDS,blackberries,normal,48
ALMONDS,brandy,normal,48
ALMONDS,"BUTTER, UNSALTED",very_highly_recommended,48
ALMONDS,butterscotch,normal,48
ALMONDS,caramel,recommended,48
ALMONDS,cardamom,normal,48
ALMONDS,cayenne,normal,48
ALMONDS,"cheese: goat, manchego, ricotta",normal,48
ALMONDS,"cherries, esp. sour",normal,48
ALMONDS,chicken,normal,48
ALMONDS,"CHOCOLATE: DARK, MILK",very_highly_recommended,48
ALMONDS,"chocolate, white",normal,48
ALMONDS,cinnamon,normal,48
ALMONDS,coconut,recommended,48
ALMONDS,coffee,recommended,48
ALMONDS,cornmeal,normal,48
ALMONDS,corn syrup,normal,48
ALMONDS,crab,normal,48
ALMONDS,cranberries,normal,48
ALMONDS,CREAM,very_highly_recommended,48
ALMONDS,cream cheese,normal,48
ALMONDS,crème fraîche,normal,48
ALMONDS,"crust: pastry, pie",normal,48
ALMONDS,currants,normal,48
ALMONDS,figs,recommended,48
ALMONDS,fish,normal,48
ALMONDS,French pastries,normal,48
ALMONDS,"fruits, most",normal,48
ALMONDS,garlic,normal,48
ALMONDS,grapes,normal,48
ALMONDS,Greek cuisine,normal,48
ALMONDS,"greens, salad",normal,48
ALMONDS,hazelnuts,recommended,48
ALMONDS,HONEY,very_highly_recommended,48
ALMONDS,ice cream,normal,48
ALMONDS,Indian cuisine,normal,48
ALMONDS,Italian sauces,normal,48
ALMONDS,lamb,normal,48
ALMONDS,lavender,normal,48
ALMONDS,"lemon: juice, zest",recommended,48
ALMONDS,"liqueurs, fruit (including orange)",normal,48
ALMONDS,mascarpone,normal,48
ALMONDS,Mediterranean cuisine,normal,48
ALMONDS,Mexican beverages and mole sauces,normal,48
ALMONDS,"milk, sweetened condensed",normal,49
ALMONDS,molasses,normal,49
ALMONDS,Moroccan cuisine,normal,49
ALMONDS,nectarines,normal,49
ALMONDS,oats,normal,49
ALMONDS,olive oil,recommended,49
ALMONDS,olives,normal,49
ALMONDS,"orange: juice, zest",recommended,49
ALMONDS,paprika,normal,49
ALMONDS,passion fruit,normal,49
ALMONDS,peaches,normal,49
ALMONDS,pears,normal,49
ALMONDS,pecans,normal,49
ALMONDS,"pepper, ground",normal,49
ALMONDS,pine nuts,normal,49
ALMONDS,plums,normal,49
ALMONDS,praline,normal,49
ALMONDS,prunes,normal,49
ALMONDS,quince,normal,49
ALMONDS,"raisins, esp. white",normal,49
ALMONDS,raspberries,normal,49
ALMONDS,rhubarb,normal,49
ALMONDS,rice,normal,49
ALMONDS,rosemary,normal,49
ALMONDS,rum,normal,49
ALMONDS,"salt: kosher, sea",recommended,49
ALMONDS,shellfish,normal,49
ALMONDS,sherry,normal,49
ALMONDS,"Spanish cuisine, esp. sauces",normal,49
ALMONDS,strawberries,normal,49
ALMONDS,"sugar: brown, white",recommended,49
ALMONDS,tea,normal,49
ALMONDS,Turkish cuisine,normal,49
ALMONDS,VANILLA,very_highly_recommended,49
ALMONDS,walnuts,normal,49
ALMONDS,almond has a very distinct flavor.,normal,49
AMARETTO (sweet almond liqueur),almonds,normal,50
AMARETTO (sweet almond liqueur),apricots,normal,50
AMARETTO (sweet almond liqueur),butter,normal,50
AMARETTO (sweet almond liqueur),cherries,normal,50
AMARETTO (sweet almond liqueur),chocolate,normal,50
AMARETTO (sweet almond liqueur),coffee,normal,50
AMARETTO (sweet almond liqueur),cream,normal,50
AMARETTO (sweet almond liqueur),hazelnuts,normal,50
AMARETTO (sweet almond liqueur),Italian cuisine,normal,50
AMARETTO (sweet almond liqueur),peaches,normal,50
AMARETTO (sweet almond liqueur),pork,normal,50
AMARETTO (sweet almond liqueur),sugar,normal,50
ANCHOVIES,almonds,recommended,50
ANCHOVIES,basil,normal,50
ANCHOVIES,"beans, green",normal,50
ANCHOVIES,"bell peppers, esp. roasted",normal,50
